row_id,Source,Reference,Translation,gold_errors,top5_predicted,hits,num_gold,num_hits,recall_at_5,precision_at_5,exact_match,exact_containment,all_scores_json
0,"As soon as you get out of the current, swimming back is no more difficult than normally.","जैसे ही आप धारा से निकल आते हैं, पीछे की ओर तैरने में कोई खास मुश्किल नहीं होती है.","जैसे ही आप करंटसे बाहर निकलते हैं, स्विमिंग बैकसामान्य से ज्यादा मुश्किल नहीं होती ।","[""transliteration""]","[""inappropriate_for_context"", ""inconsistency_use"", ""transliteration"", ""mistranslation"", ""non_translation""]","[""transliteration""]",1,1,1.0,0.2,False,True,"[{""error"": ""inappropriate_for_context"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""inconsistency_use"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""transliteration"", ""score"": 0.76, ""prob"": 0.8, ""conf"": 95.0}, {""error"": ""mistranslation"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""non_translation"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""awkward"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""register"", ""score"": 0.27, ""prob"": 0.3, ""conf"": 90.0}, {""error"": ""addition"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""omission"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""spelling"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""grammar"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}]"
1,"Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed.","कुछ सड़कें क्षतिग्रस्त हो गई हैं, प्रभावित क्षेत्रों में रेल सेवा बाधित हुई, और इशिकावा प्रांत में नोटो हवाई अड्डा बंद है.","कुछ सड़कें क्षतिग्रस्त हो गई हैं, प्रभावित क्षेत्रों में रेल सेवा बाधित है और इशिकावा प्रान्त में नोटो हवाई अड्डा बंद है।",[],"[""awkward"", ""transliteration"", ""spelling"", ""grammar"", ""inappropriate_for_context""]",[],0,0,,0.0,,,"[{""error"": ""awkward"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""transliteration"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""spelling"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""grammar"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.54, ""prob"": 0.6, ""conf"": 90.0}, {""error"": ""mistranslation"", ""score"": 0.51, ""prob"": 0.6, ""conf"": 85.0}, {""error"": ""addition"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""omission"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""non_translation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""inconsistency_use"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}]"
2,This too can be borrowed from the stock at the entrance but that clothing isn't washed after every user so you may not feel comfortable wearing these skirts. One size fits all for men!,इसे प्रवेश द्वार पर रखे स्टॉक से भी लिया जा सकता है लेकिन उन कपड़ों को हर इस्तेमाल के बाद धोया नहीं जाता है इसलिए शायद आपको ये स्कर्ट पहनना सुविधाजनक न लगे. पुरुषों के लिए एक ही साइज़ उपलब्ध है.,"यह भी प्रवेश द्वार पर स्टॉक से उधार लिया जा सकता है लेकिन वह कपड़े हर उपयोगकर्ता के बाद नहीं धोए जाते हैं, इसलिए आप इन स्कर्टों को पहनने में सहज महसूस नहीं कर सकते हैं। पुरुषों के लिए एक आकारसभी फिट बैठता है!","[""awkward"", ""mistranslation"", ""omission"", ""transliteration""]","[""inconsistency"", ""characterEncoding"", ""grammar"", ""addition"", ""mistranslation""]","[""mistranslation""]",4,1,0.25,0.2,False,False,"[{""error"": ""inconsistency"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""characterEncoding"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""grammar"", ""score"": 0.765, ""prob"": 0.9, ""conf"": 85.0}, {""error"": ""addition"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""mistranslation"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""non_translation"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""inconsistency_use"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""transliteration"", ""score"": 0.68, ""prob"": 0.8, ""conf"": 85.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.6400000000000001, ""prob"": 0.8, ""conf"": 80.0}, {""error"": ""awkward"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""register"", ""score"": 0.375, ""prob"": 0.5, ""conf"": 75.0}, {""error"": ""omission"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""spelling"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}]"
0,"As soon as you get out of the current, swimming back is no more difficult than normally.","जैसे ही आप धारा से निकल आते हैं, पीछे की ओर तैरने में कोई खास मुश्किल नहीं होती है.","जैसे ही आप करंटसे बाहर निकलते हैं, स्विमिंग बैकसामान्य से ज्यादा मुश्किल नहीं होती ।","[""transliteration""]","[""inappropriate_for_context"", ""inconsistency_use"", ""awkward"", ""transliteration"", ""mistranslation""]","[""transliteration""]",1,1,1.0,0.2,False,True,"[{""error"": ""inappropriate_for_context"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""inconsistency_use"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""awkward"", ""score"": 0.68, ""prob"": 0.8, ""conf"": 85.0}, {""error"": ""transliteration"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""mistranslation"", ""score"": 0.595, ""prob"": 0.7, ""conf"": 85.0}, {""error"": ""non_translation"", ""score"": 0.595, ""prob"": 0.7, ""conf"": 85.0}, {""error"": ""addition"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""omission"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""spelling"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""grammar"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
1,"Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed.","कुछ सड़कें क्षतिग्रस्त हो गई हैं, प्रभावित क्षेत्रों में रेल सेवा बाधित हुई, और इशिकावा प्रांत में नोटो हवाई अड्डा बंद है.","कुछ सड़कें क्षतिग्रस्त हो गई हैं, प्रभावित क्षेत्रों में रेल सेवा बाधित है और इशिकावा प्रान्त में नोटो हवाई अड्डा बंद है।",[],"[""omission"", ""non_translation"", ""awkward"", ""grammar"", ""spelling""]",[],0,0,,0.0,,,"[{""error"": ""omission"", ""score"": 0.76, ""prob"": 0.8, ""conf"": 95.0}, {""error"": ""non_translation"", ""score"": 0.76, ""prob"": 0.8, ""conf"": 95.0}, {""error"": ""awkward"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""grammar"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""spelling"", ""score"": 0.595, ""prob"": 0.7, ""conf"": 85.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.42, ""prob"": 0.6, ""conf"": 70.0}, {""error"": ""addition"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""mistranslation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""transliteration"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency_use"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
2,This too can be borrowed from the stock at the entrance but that clothing isn't washed after every user so you may not feel comfortable wearing these skirts. One size fits all for men!,इसे प्रवेश द्वार पर रखे स्टॉक से भी लिया जा सकता है लेकिन उन कपड़ों को हर इस्तेमाल के बाद धोया नहीं जाता है इसलिए शायद आपको ये स्कर्ट पहनना सुविधाजनक न लगे. पुरुषों के लिए एक ही साइज़ उपलब्ध है.,"यह भी प्रवेश द्वार पर स्टॉक से उधार लिया जा सकता है लेकिन वह कपड़े हर उपयोगकर्ता के बाद नहीं धोए जाते हैं, इसलिए आप इन स्कर्टों को पहनने में सहज महसूस नहीं कर सकते हैं। पुरुषों के लिए एक आकारसभी फिट बैठता है!","[""awkward"", ""mistranslation"", ""omission"", ""transliteration""]","[""inappropriate_for_context"", ""inconsistency_use"", ""awkward"", ""punctuation"", ""grammar""]","[""awkward""]",4,1,0.25,0.2,False,False,"[{""error"": ""inappropriate_for_context"", ""score"": 0.765, ""prob"": 0.85, ""conf"": 90.0}, {""error"": ""inconsistency_use"", ""score"": 0.765, ""prob"": 0.85, ""conf"": 90.0}, {""error"": ""awkward"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""punctuation"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""grammar"", ""score"": 0.595, ""prob"": 0.7, ""conf"": 85.0}, {""error"": ""addition"", ""score"": 0.54, ""prob"": 0.6, ""conf"": 90.0}, {""error"": ""non_translation"", ""score"": 0.51, ""prob"": 0.6, ""conf"": 85.0}, {""error"": ""untranslated_text"", ""score"": 0.36000000000000004, ""prob"": 0.4, ""conf"": 90.0}, {""error"": ""omission"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""mistranslation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""transliteration"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""spelling"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
3,"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors.","वे गुण जो किसी उप-संस्कृति को अलग बनाते हैं, जैसे कि भाषा, सौंदर्य, धर्म, राजनीति, यौन, भूगोल या कई सारे कारकों का मिश्रण हो सकते हैं.","उपसंस्कृति को विशिष्ट रूप से निर्धारित करने वाले गुण भाषाई, सौंदर्य, धार्मिक, राजनीतिक, यौन, भौगोलिक या कारकों का संयोजन हो सकते हैं।",[],"[""addition"", ""omission"", ""punctuation"", ""mistranslation"", ""grammar""]",[],0,0,,0.0,,,"[{""error"": ""addition"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""omission"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""punctuation"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""mistranslation"", ""score"": 0.51, ""prob"": 0.6, ""conf"": 85.0}, {""error"": ""grammar"", ""score"": 0.425, ""prob"": 0.5, ""conf"": 85.0}, {""error"": ""awkward"", ""score"": 0.35, ""prob"": 0.5, ""conf"": 70.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.24, ""prob"": 0.3, ""conf"": 80.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""transliteration"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""non_translation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""spelling"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency_use"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
4,"It's expected that most event tickets will cost between ¥2,500 and ¥130,000, with typical tickets costing around ¥7,000.","यह उम्मीद है कि ईवेंट की अधिकांश टिकटों की कीमत ¥ 2,500 से ¥130,000 के बीच होगी, जिसमें प्ररूपी टिकटों की कीमत लगभग  ¥7,000 होगी।","यह उम्मीद की जा रही है कि अधिकांशइवेंट टिकट 2,500 और ‧ 130,000 के बीच खर्च होंगे, जिसमें विशिष्ट टिकटों की लागत लगभग 7,000 है।","[""awkward"", ""mistranslation"", ""omission"", ""transliteration""]","[""transliteration"", ""non_translation"", ""mistranslation"", ""inappropriate_for_context"", ""awkward""]","[""awkward"", ""mistranslation"", ""transliteration""]",4,3,0.75,0.6,False,False,"[{""error"": ""transliteration"", ""score"": 0.855, ""prob"": 0.9, ""conf"": 95.0}, {""error"": ""non_translation"", ""score"": 0.855, ""prob"": 0.9, ""conf"": 95.0}, {""error"": ""mistranslation"", ""score"": 0.68, ""prob"": 0.8, ""conf"": 85.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.6375, ""prob"": 0.75, ""conf"": 85.0}, {""error"": ""awkward"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""spelling"", ""score"": 0.54, ""prob"": 0.6, ""conf"": 90.0}, {""error"": ""register"", ""score"": 0.30000000000000004, ""prob"": 0.4, ""conf"": 75.0}, {""error"": ""addition"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""omission"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""grammar"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency_use"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
5,"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""","यूनिवर्सिटी ऑफ़ डंडी के प्रोफ़ेसर पामेला फ़र्ग्यूसन लिखते हैं, “अगर संदिग्धों के फ़ोटो आदि प्रकाशित होते हैं तो पत्रकारों को यह ख़तरनाक मार्ग पर चलना लगता है”.","डंडी विश्वविद्यालय के प्रोफेसर पामेला फर्गगुसन नोट""पत्रकारों को एक खतरनाक लाइन चलने लगता है अगर संदिग्धों की तस्वीरें आदि प्रकाशन.""","[""mistranslation"", ""transliteration""]","[""transliteration"", ""inconsistency_use"", ""omission"", ""mistranslation"", ""non_translation""]","[""mistranslation"", ""transliteration""]",2,2,1.0,0.4,False,True,"[{""error"": ""transliteration"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""inconsistency_use"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""omission"", ""score"": 0.8075, ""prob"": 0.85, ""conf"": 95.0}, {""error"": ""mistranslation"", ""score"": 0.8075, ""prob"": 0.85, ""conf"": 95.0}, {""error"": ""non_translation"", ""score"": 0.8075, ""prob"": 0.85, ""conf"": 95.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.6400000000000001, ""prob"": 0.8, ""conf"": 80.0}, {""error"": ""spelling"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""awkward"", ""score"": 0.595, ""prob"": 0.7, ""conf"": 85.0}, {""error"": ""grammar"", ""score"": 0.425, ""prob"": 0.5, ""conf"": 85.0}, {""error"": ""addition"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
6,"Around the old Medina it's easy to find places selling traditional Moroccan goods, such as tagines, pottery, leather goods, hookahs, and a whole spectrum of geegaws, but it's all for the tourists.","पुराने मदीना के आस-पास ऐसी जगहें आसानी से मिल जाती हैं जहां मोरक्को का परंपरागत सामान बेचा जाता है, जैसे कि ताजिन, पॉटरी, चमड़े का सामान, हुक्का, और जीजॉ का एक पूरा स्पेक्ट्रम, लेकिन यह सब पर्यटकों के लिए है.","पुराने मदीना के आस-पास पारंपरिक मोरक्कन सामान जैसे टैगिन, कुम्हार,चमड़ा सामान, हुकहों और गीगावोंका एक पूरा स्पेक्ट्रमबेचने वाली जगहों का पता लगाना आसान है, लेकिन यह सब पर्यटकों के लिए है।","[""grammar"", ""mistranslation"", ""spelling"", ""transliteration""]","[""inconsistency_use"", ""inappropriate_for_context"", ""awkward"", ""punctuation"", ""grammar""]","[""grammar""]",4,1,0.25,0.2,False,False,"[{""error"": ""inconsistency_use"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.68, ""prob"": 0.8, ""conf"": 85.0}, {""error"": ""awkward"", ""score"": 0.68, ""prob"": 0.8, ""conf"": 85.0}, {""error"": ""punctuation"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""grammar"", ""score"": 0.425, ""prob"": 0.5, ""conf"": 85.0}, {""error"": ""transliteration"", ""score"": 0.18000000000000002, ""prob"": 0.2, ""conf"": 90.0}, {""error"": ""addition"", ""score"": 0.17, ""prob"": 0.2, ""conf"": 85.0}, {""error"": ""omission"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""mistranslation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""non_translation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""spelling"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 95.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
7,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,असल में फील्ड ट्रिप साझा करना यात्रा पर विचार करने और भविष्य की कक्षाओं के साथ अनुभव करने का एक शानदार तरीका है.,फील्ड ट्रिप को आभासी रूप से साझा करना एक यात्रा और भावी वर्गोंके साथ अनुभवों को साझा करने का भी एक अच्छा तरीका है।,"[""awkward"", ""mistranslation"", ""omission""]","[""omission"", ""mistranslation"", ""inconsistency_use"", ""inappropriate_for_context"", ""awkward""]","[""awkward"", ""mistranslation"", ""omission""]",3,3,1.0,0.6,False,True,"[{""error"": ""omission"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""mistranslation"", ""score"": 0.7200000000000001, ""prob"": 0.8, ""conf"": 90.0}, {""error"": ""inconsistency_use"", ""score"": 0.595, ""prob"": 0.7, ""conf"": 85.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.48, ""prob"": 0.6, ""conf"": 80.0}, {""error"": ""awkward"", ""score"": 0.48, ""prob"": 0.6, ""conf"": 80.0}, {""error"": ""grammar"", ""score"": 0.21, ""prob"": 0.3, ""conf"": 70.0}, {""error"": ""addition"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""transliteration"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""non_translation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""spelling"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 90.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 100.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
8,"In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.","इसके अलावा, इस बात से अवगत रहें कि गंधक भालू और अन्य वन्यजीवों को आकर्षित करते हैं, इसलिए गंधयुक्त खाद्य पदार्थों को ले जाने या पकाने से बचें और शिविर साफ रखें।","साथ ही जानते रहेकि अजगर भालू और अन्य वन्यजीवों को आकर्षित करते हैं, इसलिए गंदेखाद्य पदार्थों को ले जाने या पकाने से बचें और स्वच्छ शिविर रखें।","[""grammar"", ""mistranslation""]","[""mistranslation"", ""non_translation"", ""inappropriate_for_context"", ""inconsistency_use"", ""transliteration""]","[""mistranslation""]",2,1,0.5,0.2,False,False,"[{""error"": ""mistranslation"", ""score"": 0.855, ""prob"": 0.9, ""conf"": 95.0}, {""error"": ""non_translation"", ""score"": 0.855, ""prob"": 0.9, ""conf"": 95.0}, {""error"": ""inappropriate_for_context"", ""score"": 0.855, ""prob"": 0.9, ""conf"": 95.0}, {""error"": ""inconsistency_use"", ""score"": 0.855, ""prob"": 0.9, ""conf"": 95.0}, {""error"": ""transliteration"", ""score"": 0.81, ""prob"": 0.9, ""conf"": 90.0}, {""error"": ""awkward"", ""score"": 0.765, ""prob"": 0.85, ""conf"": 90.0}, {""error"": ""spelling"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""grammar"", ""score"": 0.63, ""prob"": 0.7, ""conf"": 90.0}, {""error"": ""addition"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""omission"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""untranslated_text"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""punctuation"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""register"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""inconsistency"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}, {""error"": ""characterEncoding"", ""score"": 0.0, ""prob"": 0.0, ""conf"": 0.0}]"
